Ticker, Sector 
FCD, Real Estate 
FCR, Real Estate 
AG, Mining 
FF, Mining 
FN, Financial Services 
FM, Mining 
FSV, Real Estate 
MHC, Real Estate 
FLNT, Industrial Products & Services 
FAR, Industrial Products & Services 
FOM, Mining 
FSY, Mining 
FTS, Utilities & Pipelines 
FVI, Mining 
FT, Mining 
FNV, Mining 
FVL, Mining 
FRU, Oil & Gas 
FEC, Oil & Gas 
FURY, Mining 
FMR, Mining 
GMIN, Mining 
GTWO, Mining 
GLXY, Financial Services 
GAU, Mining 
GH, Consumer Products & Services 
GDI, Industrial Products & Services 
GENM, Mining 
GDC, Real Estate 
GEO, Industrial Products & Services 
WN, Consumer Products & Services 
GFL, Industrial Products & Services 
GEI, Industrial Products & Services 
GIL, Consumer Products & Services 
GVC, Comm. & Media 
GLO, Mining 
GEC, Consumer Products & Services 
GMX, Mining 
GO, Real Estate 
GSY, Financial Services 
GGD, Mining 
GRC, Mining 
AUMN, Mining 
GOLD, Mining 
XAU, Financial Services 
GDL, Industrial Products & Services 
FOOD, Consumer Products & Services 
GTE, Oil & Gas 
GRT, Real Estate 
GWO, Financial Services 
GFR, Oil & Gas 
GFP, Industrial Products & Services 
MOLY, Mining 
GRN, Clean Technology & Renewable Energy 
GRGD, Consumer Products & Services 
GCG, Financial Services 
GCU, Mining 
GURU, Consumer Products & Services 
HR, Real Estate 
HAI, Technology 
HMM, Industrial Products & Services 
HPS, Industrial Products & Services 
HWX, Oil & Gas 
AIDX, Life Sciences 
HFPC, Financial Services 
HBP, Life Sciences 
HWO, Industrial Products & Services 
HLF, Consumer Products & Services 
HSLV, Mining 
HLS, Life Sciences 
HBM, Mining 
HUT, Technology 
H, Utilities & Pipelines 
IAU, Mining 
IAG, Financial Services 
IMG, Mining 
IFA, Consumer Products & Services 
IGM, Financial Services 
ILLM, Technology 
III, Mining 
IMO, Oil & Gas 
ISC, Technology 
INO, Real Estate 
IPO, Oil & Gas 
IFC, Financial Services 
IFP, Industrial Products & Services 
IMP, Technology 
IPCO, Oil & Gas 
ITH, Mining 
IIP, Real Estate 
IVQ, Real Estate 
ISO, Mining 
IE, Mining 
IVN, Mining 
JAG, Mining 
JWEL, Consumer Products & Services 
JOY, Oil & Gas 
KNT, Mining 
KRN, Mining 
KBL, Industrial Products & Services 
KLS, Industrial Products & Services 
KEL, Oil & Gas 
KEY, Utilities & Pipelines 
KMP, Real Estate 
KXS, Technology 
K, Mining 
KITS, Consumer Products & Services 
KSI, Technology 
GUD, Life Sciences 
KEI, Oil & Gas 
KPT, Clean Technology & Renewable Energy 
LIF, Mining 
LAM, Mining 
LGO, Mining 
LAS, Consumer Products & Services 
LB, Financial Services 
LNF, Consumer Products & Services 
LGD, Mining 
LSPD, Technology 
LNR, Industrial Products & Services 
LAC, Mining 
LAR, Mining 
LIRC, Mining 
L, Consumer Products & Services 
LUC, Mining 
LUG, Mining 
LUN, Mining 
MPC, Real Estate 
MAL, Industrial Products & Services 
MG, Industrial Products & Services 
MEQ, Real Estate 
MDI, Industrial Products & Services 
MAK, SPAC 
MFC, Financial Services 
MFI, Consumer Products & Services 
MARI, Mining 
MRE, Industrial Products & Services 
MATR, Industrial Products & Services 
MXG, Utilities & Pipelines 
MKP, Financial Services 
MCB, Industrial Products & Services 
MUX, Mining 
MDA, Technology 
MDP, Life Sciences 
DR, Real Estate 
MDNA, Life Sciences 
LABS, Life Sciences 
MGA, Mining 
MRD, Real Estate 
SPAC, SPAC 
MER, Oil & Gas 
MNO, Mining 
MX, Industrial Products & Services 
MRU, Consumer Products & Services 
MBX, Life Sciences 
MSV, Mining 
MSA, Mining 
MI, Real Estate 
TPX, Consumer Products & Services 
MAU, Mining 
MRC, Real Estate 
MRG, Real Estate 
MRT, Real Estate 
MPVD, Mining 
MTY, Consumer Products & Services 
MTL, Industrial Products & Services 
NANO, Clean Technology & Renewable Energy 
GRA, Clean Technology & Renewable Energy 
NEO, Industrial Products & Services 
AIAI, Life Sciences 
NGD, Mining 
NUAG, Mining 
NXE, Mining 
NEXT, Mining 
NXR, Real Estate 
NFI, Clean Technology & Renewable Energy 
NGEX, Mining 
NOA, Industrial Products & Services 
NWC, Consumer Products & Services 
NCF, Mining 
NDM, Mining 
NPI, Clean Technology & Renewable Energy 
NRR, Real Estate 
NWH, Real Estate 
NOU, Mining 
NG, Mining 
NVO, Mining 
NUMI, Life Sciences 
NTR, Mining 
SFD, Technology 
OBE, Oil & Gas 
OGC, Mining 
OLY, Financial Services 
ONEX, Financial Services 
OTEX, Technology 
OR, Mining 
OGD, Industrial Products & Services 
ORE, Mining 
OGI, Life Sciences 
ORIO, Financial Services 
OLA, Mining 
ORV, Mining 
OM, Mining 
OCG, Mining 
OVV, Oil & Gas 
PDN, Mining 
PAAS, Mining 
POU, Oil & Gas 
PXT, Oil & Gas 
PSI, Industrial Products & Services 
PPL, Utilities & Pipelines 
PPTA, Mining 
PRU, Mining 
PET, Consumer Products & Services 
TAL, Oil & Gas 
PRQ, Oil & Gas 
PEY, Oil & Gas 
PHX, Industrial Products & Services 
PNE, Oil & Gas 
PNP, Financial Services 
PZA, Consumer Products & Services 
PTM, Mining 
PLZ, Real Estate 
PMET, Mining 
PIF, Clean Technology & Renewable Energy 
PBL, Consumer Products & Services 
