ticker,fullName,sector,industry,dividendYield,fiveYearAvgDividendYield,trailingEps,forwardEps,beta,pegRatio,recommendationKey,numberOfAnalystOpinions,targetHighPrice,currentPrice,targetLowPrice,allTimeHigh,allTimeLow,exDividendDate,lastDividendDate,passes_filters
MRC.TO,MORGUARD CORP., Real Estate ,Real Estate - Diversified,0.66,0.54,16.34,22.8,0.537,,none,1.0,145.0,120.1,145.0,219.48,0.01,15 Jun 2026,15 Mar 2026,True
ENGH.TO,ENGHOUSE SYSTEMS LIMITED, Technology ,Software - Application,7.13,3.0,1.26,1.46462,0.311,,hold,4.0,20.0,17.66,16.0,80.91,1.1875,12 May 2026,12 Feb 2026,True
ET.TO,EVERTZ TECHNOLOGIES LIMITED, Technology ,Communication Equipment,5.01,5.73,0.81,0.86333,0.704,1.55,buy,4.0,18.0,15.99,16.0,42.2,9.45,12 Jun 2026,12 Mar 2026,True
OTEX.TO,OPEN TEXT CORPORATION, Technology ,Software - Application,4.75,2.81,2.34,5.989985,1.05,1.02,hold,1.0,35.85383,31.48,35.85383,69.79,1.875,05 Jun 2026,05 Mar 2026,True
PRL.TO,PROPEL HOLDINGS INC, Technology ,Credit Services,3.78,,1.93,3.8293118,1.383,,buy,8.0,31.835894,21.85,24.45334,43.36,6.03,19 May 2026,19 Feb 2026,True
ISC.TO,INFORMATION SERVICES CORPORATIO, Technology ,Specialty Business Services,2.02,3.42,1.43,3.14575,0.842,,buy,5.0,55.0,45.36,39.0,50.49,12.02,30 Jun 2026,30 Mar 2026,True
CGY.TO,CALIAN GROUP LTD, Technology ,Specialty Business Services,1.57,1.98,2.28,4.8201,0.874,,strong_buy,6.0,94.0,70.52,76.0,85.16,1.85,24 May 2026,24 Feb 2026,True
TCS.TO,TECSYS INC J, Technology ,Software - Application,0.99,0.87,0.4,0.66,0.731,,buy,5.0,47.0,37.07,28.5,66.58,0.6,24 Jun 2026,24 Mar 2026,True
SOBO.TO,SOUTH BOW CORPORATION, Utilities & Pipelines ,Oil & Gas Midstream,5.87,,2.83,2.6694357,,,hold,17.0,49.971424,47.82,22.733091,48.59,27.9,30 Jun 2026,30 Mar 2026,True
ENB.TO,ENBRIDGE INC, Utilities & Pipelines ,Oil & Gas Midstream,5.2,6.45,3.22,3.21373,0.792,5.71,hold,21.0,85.0,74.695,66.0,77.18,0.0,16 May 2026,16 Feb 2026,True
PPL.TO,PEMBINA PIPELINE CORPORATION, Utilities & Pipelines ,Oil & Gas Midstream,4.49,5.47,2.66,3.00393,0.704,2.2,buy,18.0,69.0,63.36,52.0,64.27,10.6,15 Jun 2026,15 Mar 2026,True
EMA.TO,EMERA INCORPORATED, Utilities & Pipelines ,Utilities - Regulated Electric,4.05,4.9,3.38,3.62889,0.455,1.19,hold,14.0,78.0,71.58,63.0,74.8,10.63,30 Jul 2026,30 Apr 2026,True
KEY.TO,KEYERA CORP, Utilities & Pipelines ,Oil & Gas Midstream,4.05,5.5,1.89,3.07191,0.831,1.89,buy,13.0,66.0,52.92,48.0,55.35,5.3,15 Jun 2026,15 Mar 2026,True
TRP.TO,TC ENERGY CORP., Utilities & Pipelines ,Oil & Gas Midstream,3.87,5.85,3.39,3.85551,0.971,3.36,buy,23.0,102.0,89.965,78.0,91.5,8.933455,30 Jun 2026,30 Mar 2026,True
CU.TO,"CANADIAN UTILITIES LTD., CL.A, ", Utilities & Pipelines ,Utilities - Diversified,3.8,4.99,0.15,2.68353,0.586,2.64,hold,7.0,55.0,48.67,45.0,51.05,9.6875,04 May 2026,04 Feb 2026,True
FTS.TO,FORTIS INC, Utilities & Pipelines ,Utilities - Regulated Electric,3.26,3.78,3.4,3.87002,0.432,2.88,hold,15.0,85.0,77.36,70.0,80.69,6.0625,16 May 2026,16 Feb 2026,True
ALA.TO,ALTAGAS LTD., Utilities & Pipelines ,Oil & Gas Midstream,2.56,3.64,1.64,2.65549,0.493,,buy,11.0,56.0,52.4,51.0,53.06,8.71,15 Jun 2026,15 Mar 2026,True
H.TO,HYDRO ONE LIMITED, Utilities & Pipelines ,Utilities - Regulated Electric,2.28,2.91,2.23,2.37601,0.412,3.49,hold,14.0,63.0,58.51,47.0,60.46,18.57,10 Jun 2026,10 Mar 2026,True
